index	card_name
107	Fix What's Broken
108	Flashback
109	Flow State
110	Flusterstorm
111	Follow the Lumarets
112	Foolish Fate
113	Force of Will
114	Forest
115	Forum Necroscribe
116	Forum of Amity
117	Fractal Anomaly
118	Fractal Mascot
119	Fractal Tender
120	Fractalize
121	Fracture
122	Garrison Excavator
123	Geometer's Arthropod
124	Germination Practicum
125	Giant Growth
126	Glimpse of Nature
127	Glorious Decay
128	Goblin Glasswright
129	Graduation Day
130	Grapple with Death
131	Grave Researcher
132	Great Hall of the Biblioplex
133	Grim Haruspex
134	Group Project
135	Growth Curve
136	Hardened Academic
137	Harmonized Trio
138	Harsh Annotation
139	Heated Argument
140	Helping Hand
141	Homesickness
142	Honorbound Page
143	Hop to It
144	Hungry Graffalon
145	Hydro-Channeler
146	Imperious Inkmage
147	Impractical Joke
148	Improvisation Capstone
149	Infirmary Healer
150	Informed Inkwright
151	Inkling Mascot
152	Inkshape Demonstrator
153	Interjection
154	Island
155	Jadzi, Steward of Fate
156	Jeska's Will
157	Joined Researchers
158	Killian's Confidence
159	Kirol, History Buff
160	Knockout Maneuver
161	Landscape Painter
162	Last Gasp
163	Lecturing Scornmage
164	Leech Collector
165	Library of Alexandria
166	Living End
167	Living History
168	Lluwen, Exchange Student
169	Locust Spray
170	Lorehold Charm
171	Lorehold, the Historian
172	Lumaret's Favor
173	Maelstrom Artisan
174	Mage Tower Referee
175	Magmablood Archaic
176	Magus of the Library
177	Mana Sculpt
178	Masterful Flourish
179	Mathemagics
180	Matterbending Mage
181	Melancholic Poet
182	Mica, Reader of Ruins
183	Mind Roots
184	Mind into Matter
185	Mindful Biomancer
186	Molten Note
187	Molten-Core Maestro
188	Moment of Reckoning
189	Monstrous Rage
190	Moseo, Vein's New Dean
191	Mountain
192	Murmuring Mystic
193	Muse Seeker
194	Muse's Encouragement
195	Nita, Forum Conciliator
196	Noxious Newt
197	Old-Growth Educator
198	Oracle's Restoration
199	Orysa, Tide Choreographer
200	Owlin Historian
201	Page, Loose Leaf
202	Paradox Gardens
203	Paradox Surveyor
204	Pensive Professor
205	Pest Mascot
206	Pestbrood Sloth
207	Petrified Hamlet
208	Pick Your Poison
209	Pigment Wrangler
210	Plains
211	Planar Engineering
212	Poisoner's Apprentice
213	Pongify
214	Postmortem Professor
215	Potioner's Trove
216	Pox Plague
217	Practiced Offense
218	Practiced Scrollsmith
219	Preordain
220	Primary Research
221	Prismari Charm
222	Prismari, the Inspiration
223	Prismatic Ending
224	Procrastinate
225	Proctor's Gaze
226	Professor Dellian Fel
227	Pterafractyl
228	Pull from the Grave
229	Pursue the Past
230	Pyretic Ritual
231	Quandrix Charm
232	Quandrix, the Proof
233	Quick Study
234	Quill-Blade Laureate
235	Rabid Attack
236	Ral Zarek, Guest Lecturer
237	Rancorous Archaic
238	Rapier Wit
239	Rapturous Moment
240	Rearing Embermare
241	Rehearsed Debater
242	Render Speechless
243	Repel Calamity
244	Reprieve
245	Requisition Raid
246	Resonating Lute
247	Restoration Seminar
248	Return the Favor
249	Return to the Ranks
250	Root Manipulation
251	Royal Treatment
252	Rubble Rouser
253	Run Behind
254	Sanar, Unfinished Genius
255	Scathing Shadelock
256	Scheming Silvertongue
257	Scolding Administrator
258	Seize the Spoils
259	Send in the Pest
260	Shamanic Revelation
261	Shared Roots
262	Shattered Acolyte
263	Shattered Sanctum
264	Sheoldred's Edict
265	Shopkeeper's Bane
266	Silverquill Charm
267	Silverquill, the Disputant
268	Skycoach Conductor
269	Skycoach Waypoint
270	Sleight of Hand
271	Slumbering Trudge
272	Smallpox
273	Snarl Song
274	Sneering Shadewriter
275	Snooping Page
276	Soaring Stoneglider
277	Social Snub
278	Spectacle Summit
279	Spectacular Skywhale
280	Spell Pierce
281	Spellbook Seeker
282	Spirit Mascot
283	Spiritcall Enthusiast
284	Splatter Technique
285	Stadium Tidalmage
286	Stand Up for Yourself
287	Stargaze
288	Startled Relic Sloth
289	Steal the Show
290	Stirring Honormancer
291	Stirring Hopesinger
292	Stock Up
293	Stone Docent
294	Stormcarved Coast
295	Stress Dream
296	Strife Scholar
297	Strixhaven Skycoach
298	Studious First-Year
299	Subterranean Tremors
300	Summoned Dromedary
301	Sundering Archaic
302	Sundown Pass
303	Suspend Aggression
304	Swamp
305	Sylvan Library
306	Tablet of Discovery
307	Tackle Artist
308	Tam, Observant Sequencer
309	Teacher's Pest
310	Tenured Concocter
311	Terramorphic Expanse
312	Tester of the Tangential
313	Textbook Tabulator
314	The Dawning Archaic
315	Thornfist Striker
316	Thunderdrum Soloist
317	Titan's Grave
318	Together as One
319	Tome Blast
320	Topiary Lecturer
321	Tragedy Feaster
322	Transcendent Archaic
323	Traumatic Critique
324	Triumph of the Hordes
325	Ulna Alley Shopkeep
326	Unsubtle Mockery
327	Vampiric Tutor
328	Vastlands Scavenger
329	Veil of Summer
330	Vibrant Outburst
331	Vicious Rivalry
332	Visionary's Dance
333	Wander Off
334	Wild Hypothesis
335	Wildgrowth Archaic
336	Wilt in the Heat
337	Winds of Abandon
338	Wisdom of Ages
339	Witherbloom Charm
340	Witherbloom, the Balancer
341	Withering Curse
342	Zaffai and the Tempests
343	Zealous Lorecaster
344	Zimone's Experiment
345	Zombify
